batter,matches,runs,balls_faced,fours,sixes,innings,dismissals,fifties,hundreds,highest_score,strike_rate,batting_average
B Laughlin,4,5,13,0,0,4,2,0,0,4,38.46,2.5
B Lee,19,124,97,8,8,19,10,0,0,25,127.84,12.4
B Sai Sudharsan,57,2515,1686,258,83,57,52,20,3,108,149.17,48.37
B Stanlake,1,5,2,1,0,1,0,0,0,5,250.0,
B Sumanth,4,35,37,3,0,4,1,0,0,16,94.59,35.0
BA Bhatt,2,6,7,0,1,2,1,0,0,6,85.71,6.0
BA Stokes,43,935,698,81,32,43,38,2,2,107,133.95,24.61
BAW Mendis,3,3,6,0,0,3,2,0,0,2,50.0,1.5
BB McCullum,109,2882,2190,293,130,111,104,13,2,158,131.6,27.71
BB Samantray,8,125,113,13,2,8,5,1,0,55,110.62,25.0
BB Sran,7,10,14,0,0,7,1,0,0,3,71.43,10.0
BCJ Cutting,17,238,141,15,19,17,11,0,0,39,168.79,21.64
BE Hendricks,2,1,3,0,0,2,1,0,0,1,33.33,1.0
BJ Haddin,1,18,11,2,1,1,1,0,0,18,163.64,18.0
BJ Hodge,63,1400,1118,122,43,63,42,6,0,73,125.22,33.33
BJ Rohrer,8,193,141,21,5,9,7,1,0,64,136.88,27.57
BKG Mendis,1,20,10,1,2,1,1,0,0,20,200.0,20.0
BMAJ Mendis,3,23,27,0,0,3,3,0,0,12,85.19,7.67
BR Dunk,3,40,35,7,0,3,3,0,0,20,114.29,13.33
BR Sharath,1,2,5,0,0,1,1,0,0,2,40.0,2.0
Basil Thampi,7,32,35,1,1,7,1,0,0,13,91.43,32.0
Bipul Sharma,17,187,123,11,9,17,8,0,0,35,152.03,23.38
Brijesh Sharma,2,2,4,0,0,2,0,0,0,1,50.0,
C Bosch,6,97,63,8,5,6,3,0,0,32,153.97,32.33
C Connolly,13,491,301,43,32,13,11,2,1,107,163.12,44.64
C Green,42,1029,681,84,49,42,27,4,1,100,151.1,38.11
C Madan,1,15,19,3,0,1,1,0,0,15,78.95,15.0
C Munro,11,177,141,19,8,11,11,0,0,40,125.53,16.09
C Nanda,1,0,1,0,0,1,1,0,0,0,0.0,0.0
C Sakariya,7,20,31,3,0,7,6,0,0,7,64.52,3.33
C de Grandhomme,21,303,225,18,18,21,16,0,0,40,134.67,18.94
CA Ingram,15,205,180,22,5,15,12,0,0,47,113.89,17.08
CA Lynn,42,1329,945,132,66,42,39,10,0,93,140.63,34.08
CA Pujara,22,390,391,50,4,22,19,1,0,51,99.74,20.53
CH Gayle,141,4997,3346,408,359,145,126,31,6,175,149.34,39.66
CH Morris,49,618,398,41,35,49,28,2,0,82,155.28,22.07
CJ Anderson,29,538,423,40,31,29,22,3,0,95,127.19,24.45
CJ Ferguson,8,98,117,9,0,8,6,0,0,23,83.76,16.33
CJ Jordan,12,81,77,3,3,12,10,0,0,30,105.19,8.1
CJ McKay,1,8,15,0,0,1,1,0,0,8,53.33,8.0
CK Kapugedera,3,16,23,0,0,3,3,0,0,8,69.57,5.33
CK Langeveldt,2,8,9,0,1,2,2,0,0,8,88.89,4.0
CL White,45,971,760,76,38,46,36,6,0,78,127.76,26.97
CM Gautam,13,169,150,17,6,13,10,0,0,33,112.67,16.9
CR Brathwaite,14,181,111,10,16,14,13,0,0,43,163.06,13.92
CR Woakes,12,78,77,7,2,12,6,0,0,18,101.3,13.0
CRD Fernando,2,4,3,0,0,2,0,0,0,2,133.33,
CV Varun,13,31,53,3,0,13,6,0,0,10,58.49,5.17
D Brevis,24,606,415,38,43,24,24,2,0,57,146.02,25.25
D Ferreira,16,326,191,26,23,16,12,2,0,69,170.68,27.17
D Kalyankrishna,1,3,8,0,0,1,1,0,0,3,37.5,3.0
D Padikkal,89,2270,1705,241,80,89,85,14,1,101,133.14,26.71
D Pretorius,5,44,28,3,3,5,4,0,0,22,157.14,11.0
