bowler,matches,legal_balls,runs_conceded,wickets,overs,economy
PM Sarvesh Kumar,2,30,42,1,5.0,8.4
MK Lomror,11,90,127,1,15.0,8.47
SSB Magala,2,36,51,1,6.0,8.5
CJ McKay,2,42,60,1,7.0,8.57
V Viyaskanth,3,60,86,1,10.0,8.6
SE Rutherford,6,41,59,1,6.5,8.63
Raghu Sharma,5,90,130,1,15.0,8.67
GF Linde,3,37,55,1,6.1,8.92
SB Joshi,4,55,82,1,9.1,8.95
D Madushanka,1,24,36,1,4.0,9.0
AA Jhunjhunwala,10,85,129,1,14.1,9.11
DB Ravi Teja,2,18,28,1,3.0,9.33
M Shahrukh Khan,3,18,28,1,3.0,9.33
AJ Finch,5,43,67,1,7.1,9.35
IC Porel,1,24,39,1,4.0,9.75
D Salunkhe,5,47,78,1,7.5,9.96
AA Noffke,1,24,40,1,4.0,10.0
MD Shanaka,3,36,60,1,6.0,10.0
RG More,2,35,59,1,5.5,10.11
GS Sandhu,2,48,82,1,8.0,10.25
A Nel,1,18,31,1,3.0,10.33
SS Agarwal,1,24,42,1,4.0,10.5
LI Meriwala,1,18,32,1,3.0,10.67
S Vidyut,1,12,22,1,2.0,11.0
LMP Simmons,1,18,34,1,3.0,11.33
B Geeves,2,48,91,1,8.0,11.38
Y Prithvi Raj,2,30,57,1,5.0,11.4
SA Abbott,3,54,104,1,9.0,11.56
TP Sudhindra,3,70,136,1,11.4,11.66
R Powell,2,18,35,1,3.0,11.67
MK Tiwary,6,42,83,1,7.0,11.86
LB Williams,2,36,72,1,6.0,12.0
DJ Mitchell,4,48,97,1,8.0,12.12
CL White,6,42,86,1,7.0,12.29
BJ Dwarshuis,1,24,51,1,4.0,12.75
D Jansen,1,24,53,1,4.0,13.25
PVSN Raju,2,24,53,1,4.0,13.25
Musheer Khan,1,12,27,1,2.0,13.5
D Ferreira,3,18,41,1,3.0,13.67
L Wood,2,36,93,1,6.0,15.5
D Brevis,1,3,8,1,0.3,16.0
R Ravindra,2,12,7,0,2.0,3.5
M Manhas,3,42,42,0,7.0,6.0
NJ Rimmington,1,18,19,0,3.0,6.33
S Rana,3,16,18,0,2.4,6.75
NL McCullum,2,30,34,0,5.0,6.8
JE Root,1,12,14,0,2.0,7.0
SS Iyer,1,6,7,0,1.0,7.0
Y Gnaneswara Rao,1,6,7,0,1.0,7.0
RV Patel,1,18,22,0,3.0,7.33
C Munro,2,12,15,0,2.0,7.5
Tilak Varma,4,22,28,0,3.4,7.64
N Wadhera,2,17,22,0,2.5,7.76
RS Gavaskar,1,6,8,0,1.0,8.0
SA Yadav,1,6,8,0,1.0,8.0
M Vijay,4,36,49,0,6.0,8.17
R Goyal,1,24,33,0,4.0,8.25
KR Mayers,6,42,59,0,7.0,8.43
AC Voges,7,54,76,0,9.0,8.44
K Goel,6,66,93,0,11.0,8.45
CJ Green,1,17,24,0,2.5,8.47
DJ Harris,2,18,26,0,3.0,8.67
Naman Dhir,5,52,76,0,8.4,8.77
AS Raut,5,30,44,0,5.0,8.8
MW Short,5,43,64,0,7.1,8.93
Jalaj S Saxena,1,18,27,0,3.0,9.0
K Upadhyay,3,54,81,0,9.0,9.0
Tejas Baroka,1,21,33,0,3.3,9.43
